,availability,location,total_sqft,bath,price,bhk,loction
0,Ready To Move,1st Block BEL Layout,1540.0,3.0,85.0,3,other
1,Ready To Move,1st Block HBR Layout,600.0,1.0,45.0,1,other
2,Ready To Move,1st Block HBR Layout,3150.0,4.0,150.0,4,other
3,Ready To Move,1st Block HRBR Layout,2300.0,3.0,80.0,3,other
4,Ready To Move,1st Block HRBR Layout,1250.0,2.0,67.0,2,other
5,20-May,1st Block Jayanagar,2850.0,4.0,428.0,4,1st Block Jayanagar
6,18-Jun,1st Block Jayanagar,1630.0,3.0,194.0,3,1st Block Jayanagar
7,Ready To Move,1st Block Jayanagar,1875.0,2.0,235.0,3,1st Block Jayanagar
8,15-Dec,1st Block Jayanagar,1200.0,2.0,130.0,3,1st Block Jayanagar
9,18-Jun,1st Block Jayanagar,1235.0,2.0,148.0,2,1st Block Jayanagar
10,20-May,1st Block Jayanagar,2750.0,4.0,413.0,4,1st Block Jayanagar
11,20-May,1st Block Jayanagar,2450.0,4.0,368.0,4,1st Block Jayanagar
12,Ready To Move,1st Block Koramangala,1415.0,2.0,110.0,2,other
13,Ready To Move,1st Block Koramangala,860.0,2.0,65.5,2,other
14,18-Dec,1st Block Koramangala,3000.0,3.0,300.0,4,other
15,18-Mar,1st Block Koramangala,2350.0,3.0,210.0,3,other
16,Ready To Move,1st Block Koramangala,3000.0,5.0,500.0,4,other
17,Ready To Move,1st Phase JP Nagar,2825.0,4.0,250.0,4,1st Phase JP Nagar
18,Ready To Move,1st Phase JP Nagar,1875.0,3.0,167.0,3,1st Phase JP Nagar
19,Ready To Move,1st Phase JP Nagar,1500.0,5.0,85.0,5,1st Phase JP Nagar
20,Ready To Move,1st Phase JP Nagar,2065.0,4.0,210.0,3,1st Phase JP Nagar
21,Ready To Move,1st Phase JP Nagar,2024.0,3.0,157.0,3,1st Phase JP Nagar
22,Ready To Move,1st Phase JP Nagar,2059.0,3.0,225.0,3,1st Phase JP Nagar
23,Ready To Move,1st Phase JP Nagar,1394.0,2.0,100.0,2,1st Phase JP Nagar
24,18-May,1st Phase JP Nagar,1077.0,2.0,93.0,2,1st Phase JP Nagar
25,Ready To Move,1st Phase JP Nagar,1566.0,2.0,180.0,2,1st Phase JP Nagar
26,Ready To Move,1st Phase JP Nagar,840.0,2.0,50.0,1,1st Phase JP Nagar
27,18-May,1st Phase JP Nagar,1590.0,3.0,131.0,3,1st Phase JP Nagar
28,Ready To Move,1st Phase JP Nagar,2180.0,3.0,210.0,3,1st Phase JP Nagar
29,Ready To Move,1st Phase JP Nagar,1180.0,2.0,88.5,2,1st Phase JP Nagar
30,Ready To Move,1st Phase JP Nagar,1200.0,2.0,86.0,2,1st Phase JP Nagar
31,Ready To Move,1st Phase JP Nagar,1394.0,2.0,85.0,2,1st Phase JP Nagar
32,18-May,1st Phase JP Nagar,2077.0,3.0,175.0,3,1st Phase JP Nagar
33,Ready To Move,1st Phase JP Nagar,4550.0,2.0,240.0,4,1st Phase JP Nagar
34,Ready To Move,1st Phase JP Nagar,1205.0,2.0,85.0,2,1st Phase JP Nagar
